First Name,Last Name,Year,Rec,Yards,TD,20+,40+,Lng,Rec 1st,1st %,Rec FUM,Targets,Position,Draft Year,College,Height (inch),Weight (lbs),BMI,ArmLength (inch),Hand Size (inch),Wing Span (inch),40 Yard Dash (s),40 Yard (MPH),20 Yard Split (s),Bench Press,QB Ball Velocity,Vertical Leap (inch),Broad Jump (inch),20 Yd Shuttle (s),Three Cone
Davante,Adams,2020.0,115.0,1374.0,18.0,18.0,5.0,56.0,73.0,0.635,1.0,149.0,WR,2014.0,"Frenso,State,CA","72,88",212.0,28.74,32.63,9.0,77.75,4.56,18.14,2.68,14 reps (225 lb),(N/A) (MPH),39.5,123.0,4.3,6.82
David,Adams,1987.0,1.0,,,,,8.0,,,,,RB,,,,,,,,,,,,,,,,,
George,Adams,1985.0,31.0,389.0,2.0,,,70.0,,,,,RB,,,,,,,,,,,,,,,,,
George,Adams,1987.0,35.0,298.0,1.0,,,25.0,,,,,RB,,,,,,,,,,,,,,,,,
George,Adams,1988.0,27.0,174.0,,,,19.0,,,,,RB,,,,,,,,,,,,,,,,,
George,Adams,1989.0,2.0,,,,,10.0,,,,,RB,,,,,,,,,,,,,,,,,
George,Adams,1990.0,16.0,146.0,1.0,,,28.0,,,,,RB,,,,,,,,,,,,,,,,,
Jerell,Adams,2016.0,16.0,122.0,1.0,,,14.0,8.0,0.5,1.0,21.0,TE,2016.0,"South,Carolina","77,13",247.0,29.89,34.38,9.75,82.25,4.64,,2.72,(N/A) reps (225 lb),(N/A) (MPH),32.5,,4.31,7.05
Jerell,Adams,2017.0,8.0,,,1.0,,38.0,5.0,0.625,,11.0,TE,2016.0,"South,Carolina","77,13",247.0,29.89,34.38,9.75,82.25,4.64,,2.72,(N/A) reps (225 lb),(N/A) (MPH),32.5,,4.31,7.05
Joe,Adams,2012.0,1.0,,,,,7.0,,,,1.0,WR,2012.0,Arkansas,"70,63",179.0,25.83,31.88,9.38,,4.51,18.34,2.53,(N/A) reps (225 lb),(N/A) (MPH),36.0,,,
Josh,Adams,2018.0,7.0,,,,,13.0,3.0,0.429,,13.0,RB,2018.0,"Notre,Dame","73,63",213.0,28.29,33.75,9.25,79.25,,18.14,,18 reps (225 lb),(N/A) (MPH),,,,
Josh,Adams,2020.0,6.0,,,,,11.0,2.0,0.33299999999999996,,8.0,RB,2018.0,"Notre,Dame","73,63",213.0,28.29,33.75,9.25,79.25,,18.14,,18 reps (225 lb),(N/A) (MPH),,,,
Kris,Adams,2012.0,2.0,,,,,13.0,2.0,,,8.0,WR,,,,,,,,,,,,,,,,,
Kyle,Adams,2012.0,4.0,,,,,17.0,2.0,0.5,,8.0,TE,,,,,,,,,,,,,,,,,
Mike,Adams,1997.0,1.0,,,1.0,,39.0,1.0,,,,WR,1997.0,Texas,"71,4",184.0,25.99,31.63,9.13,,4.59,,2.68,(N/A) reps (225 lb),(N/A) (MPH),29.5,,4.38,7.51
Tony,Adams,1975.0,1.0,,,,,,,,,,QB,,,,,,,,,,,,,,,,,
Willis,Adams,1979.0,1.0,,,,,6.0,,,,,WR,,,,,,,,,,,,,,,,,
Willis,Adams,1980.0,8.0,165.0,,,,39.0,,,,,WR,,,,,,,,,,,,,,,,,
Willis,Adams,1981.0,1.0,,,,,24.0,,,,,WR,,,,,,,,,,,,,,,,,
Willis,Adams,1983.0,20.0,374.0,2.0,,,59.0,,,,,WR,,,,,,,,,,,,,,,,,
Willis,Adams,1984.0,21.0,261.0,,,,24.0,,,,,WR,,,,,,,,,,,,,,,,,
Willis,Adams,1985.0,10.0,132.0,,,,22.0,,,,,WR,,,,,,,,,,,,,,,,,
Joseph,Addai,2006.0,40.0,325.0,1.0,3.0,,21.0,20.0,0.5,,49.0,RB,2006.0,"Louisiana,State","71,25",214.0,30.35,31.38,9.5,,4.43,,2.58,18 reps (225 lb),(N/A) (MPH),37.0,125.0,4.47,7.09
Joseph,Addai,2007.0,41.0,364.0,3.0,1.0,1.0,73.0,15.0,0.366,,49.0,RB,2006.0,"Louisiana,State","71,25",214.0,30.35,31.38,9.5,,4.43,,2.58,18 reps (225 lb),(N/A) (MPH),37.0,125.0,4.47,7.09
Joseph,Addai,2008.0,25.0,206.0,2.0,2.0,1.0,55.0,9.0,0.36,,39.0,RB,2006.0,"Louisiana,State","71,25",214.0,30.35,31.38,9.5,,4.43,,2.58,18 reps (225 lb),(N/A) (MPH),37.0,125.0,4.47,7.09
Joseph,Addai,2009.0,51.0,336.0,3.0,1.0,,25.0,17.0,0.33299999999999996,,63.0,RB,2006.0,"Louisiana,State","71,25",214.0,30.35,31.38,9.5,,4.43,,2.58,18 reps (225 lb),(N/A) (MPH),37.0,125.0,4.47,7.09
Joseph,Addai,2010.0,19.0,124.0,,,,15.0,5.0,0.263,,26.0,RB,2006.0,"Louisiana,State","71,25",214.0,30.35,31.38,9.5,,4.43,,2.58,18 reps (225 lb),(N/A) (MPH),37.0,125.0,4.47,7.09
Joseph,Addai,2011.0,15.0,,,,,12.0,5.0,0.33299999999999996,,22.0,RB,2006.0,"Louisiana,State","71,25",214.0,30.35,31.38,9.5,,4.43,,2.58,18 reps (225 lb),(N/A) (MPH),37.0,125.0,4.47,7.09
